ts,cpu_pct,rss_mb
1756736354.901309,0.0,286.05859375
1756736355.2022052,44.9,308.9921875
1756736355.5030105,53.9,344.02734375
1756736355.8039868,54.5,344.0546875
1756736356.1049476,53.2,344.1953125
1756736356.4053605,52.5,344.203125
1756736356.7060232,47.4,344.24609375
1756736357.006808,48.7,344.25
1756736357.3077033,50.3,344.296875
1756736357.6082857,55.0,344.296875
1756736357.9089231,57.3,344.32421875
1756736358.209785,55.2,344.33203125
1756736358.5110302,53.7,344.3359375
1756736358.8117564,56.2,344.3359375
1756736359.1122975,51.9,344.34375
1756736359.4133348,50.0,344.4453125
1756736359.7137642,55.2,344.4453125
1756736360.0146263,58.9,344.453125
1756736360.315366,53.9,344.46484375
1756736360.6162374,52.6,344.47265625
1756736360.9168892,50.3,344.4765625
1756736361.2177188,52.8,344.55078125
1756736361.5184085,54.2,344.5546875
1756736361.8190758,47.7,344.57421875
1756736362.119636,50.0,344.57421875
1756736362.420661,61.3,344.58203125
1756736362.7215207,51.0,344.5859375
1756736363.0225303,51.9,344.6640625
1756736363.3232872,46.4,344.66796875
1756736363.6240332,54.1,344.66796875
1756736363.9246857,47.1,344.69140625
1756736364.2261555,48.7,344.703125
1756736364.5270476,58.6,344.7109375
1756736364.8275638,52.9,344.7109375
1756736365.1286116,51.9,344.71484375
1756736365.4295144,46.7,344.71875
1756736365.7301364,46.8,344.72265625
1756736366.0306756,51.9,344.72265625
1756736366.3315058,52.3,344.7265625
1756736366.632478,60.4,344.7265625
1756736366.9331493,61.0,344.75
1756736367.2338624,60.1,344.75390625
1756736367.5353796,51.6,344.76171875
1756736367.8360987,58.2,344.7890625
1756736368.137092,64.5,344.7890625
1756736368.437788,58.4,344.79296875
1756736368.7388453,56.6,344.82421875
1756736369.0394197,58.4,344.82421875
1756736369.34015,54.6,344.82421875
1756736369.6409767,59.0,344.82421875
1756736369.9420764,53.3,344.82421875
1756736370.243031,70.6,344.82421875
1756736370.5437553,53.8,344.828125
1756736370.8443117,51.9,344.83203125
1756736371.145002,74.1,344.83203125
1756736371.4458053,94.9,344.8515625
1756736371.746592,63.6,344.8515625
1756736372.0473275,58.8,344.859375
1756736372.3480408,50.3,344.8828125
1756736372.648702,49.7,344.890625
1756736372.9495318,58.8,344.890625
1756736373.2502851,51.9,344.890625
1756736373.5511699,57.8,344.890625
1756736373.851852,65.4,344.89453125
1756736374.1527169,79.7,344.89453125
1756736374.4535005,70.8,344.89453125
1756736374.7564561,67.1,344.89453125
1756736375.0574484,66.2,344.89453125
1756736375.3578913,60.8,344.89453125
1756736375.658711,54.1,344.89453125
1756736375.9600117,58.2,344.89453125
1756736376.2607007,61.7,344.89453125
1756736376.5618117,55.3,344.89453125
1756736376.8626807,57.2,344.90234375
1756736377.1633487,15.0,344.90234375
1756736377.4637547,37.0,344.90234375
1756736377.7643316,56.6,344.90625
1756736378.064935,60.8,344.90625
1756736378.3656085,55.3,344.90625
1756736378.7174492,87.5,344.91015625
1756736379.0187254,72.0,344.91015625
1756736379.319903,75.2,344.9140625
1756736379.6208205,61.4,344.9140625
1756736379.9218667,49.4,344.9453125
1756736380.2234595,60.6,344.96484375
1756736380.5245833,61.0,344.96484375
1756736380.8254683,57.3,344.96875
1756736381.1267674,46.1,344.97265625
1756736381.427696,59.2,344.97265625
1756736381.7283783,58.7,344.97265625
1756736382.0288944,70.4,344.97265625
1756736382.3301103,59.6,344.97265625
1756736382.6308682,61.6,344.97265625
1756736382.931807,70.1,344.9765625
1756736383.2327557,50.6,344.9765625
1756736383.5337915,53.6,344.9765625
1756736383.8346796,51.0,345.4296875
1756736384.1351502,52.9,345.4375
1756736384.435812,52.8,345.4375
1756736384.7363334,56.7,345.4375
1756736385.037102,61.5,345.44140625
1756736385.3381846,54.9,345.44140625
1756736385.6392338,48.4,345.44140625
1756736385.9397535,52.9,345.44140625
1756736386.2405567,54.6,345.44140625
1756736386.5410874,50.6,345.46875
1756736386.8417761,56.6,345.46875
