ts,cpu_pct,rss_mb
1756736080.0746596,0.0,285.47265625
1756736080.3756192,43.0,309.765625
1756736080.6763911,41.4,344.8125
1756736080.9771926,40.8,344.83203125
1756736081.277927,45.9,344.83203125
1756736081.5786593,45.7,344.98046875
1756736081.8799603,39.2,345.01171875
1756736082.1810658,59.4,345.015625
1756736082.481756,49.7,345.046875
1756736082.7829251,48.7,345.08984375
1756736083.0836072,44.7,345.08984375
1756736083.384341,53.5,345.1015625
1756736083.6849988,41.1,345.109375
1756736083.985427,37.4,345.109375
1756736084.2859988,48.3,345.109375
1756736084.586478,48.7,345.1953125
1756736084.8871138,51.0,345.19921875
1756736085.187701,46.9,345.203125
1756736085.4891028,38.0,345.20703125
1756736085.7905657,36.1,345.28125
1756736086.0919816,54.7,349.2109375
1756736086.3932085,47.4,345.28125
1756736086.6952064,49.3,345.30078125
1756736086.995611,48.7,345.3046875
1756736087.2965395,48.1,345.30859375
1756736087.5981348,40.8,345.3671875
1756736087.8994048,43.1,345.37890625
1756736088.1999636,56.0,345.38671875
1756736088.500507,50.6,345.42578125
1756736088.8010967,55.9,345.42578125
1756736089.1016746,51.3,345.4296875
1756736089.4027987,45.3,345.4296875
1756736089.703418,47.8,345.4296875
1756736090.0040405,40.6,345.4296875
1756736090.3044646,48.7,345.44140625
1756736090.6048703,36.8,345.45703125
1756736090.9058273,46.1,345.45703125
1756736091.2066336,48.7,345.4609375
1756736091.507805,51.0,345.47265625
1756736091.8087025,40.1,345.48046875
1756736092.1094677,49.7,345.51171875
1756736092.4103987,45.5,345.51171875
1756736092.7112443,44.7,345.515625
1756736093.0120595,46.8,345.54296875
1756736093.3127565,50.6,345.54296875
1756736093.6132338,49.4,345.54296875
1756736093.9148493,36.2,345.5546875
1756736094.2153907,48.7,345.5546875
1756736094.5160232,45.9,345.55859375
1756736094.8168335,43.5,345.56640625
1756736095.1179774,45.4,345.59765625
1756736095.4197552,56.1,345.59765625
1756736095.7204127,50.3,345.59765625
1756736096.021334,44.1,345.59765625
1756736096.3219109,50.0,345.61328125
1756736096.622802,47.8,345.61328125
1756736096.9236264,48.7,345.61328125
1756736097.224147,45.5,345.6171875
1756736097.5247407,57.5,345.62109375
1756736097.8257437,47.8,345.62109375
1756736098.1268804,52.9,345.625
1756736098.4276779,43.4,345.625
1756736098.7283626,45.6,345.625
1756736099.029095,50.0,345.625
1756736099.3298764,40.9,345.62890625
1756736099.6306088,49.0,345.78515625
1756736099.9313092,59.7,345.79296875
1756736100.2321851,56.9,345.79296875
1756736100.5331283,53.6,345.796875
1756736100.8338304,42.8,345.796875
1756736101.135182,43.1,345.80078125
1756736101.4357386,54.4,345.80078125
1756736101.7362747,45.0,345.828125
1756736102.0371919,52.9,345.8359375
1756736102.3381584,52.9,345.83984375
1756736102.638763,51.2,345.84375
1756736102.9396274,46.4,345.86328125
1756736103.2403078,44.4,345.87109375
1756736103.5408943,50.7,345.875
1756736103.8414679,51.0,345.875
1756736104.142163,50.3,345.87890625
1756736104.4428852,53.8,345.8828125
1756736104.7436295,47.4,346.203125
1756736105.0451136,44.0,346.2109375
1756736105.3486645,52.3,350.11328125
1756736105.6495416,47.7,346.21484375
1756736105.9502184,44.6,346.21484375
1756736106.251212,54.1,346.21875
1756736106.5519366,60.8,346.22265625
1756736106.8529868,54.4,346.22265625
1756736107.1535134,50.3,346.25
1756736107.4540675,42.6,346.25
1756736107.754505,51.6,346.25
1756736108.0554614,39.5,346.26171875
1756736108.3560073,44.6,346.265625
1756736108.6567945,44.6,346.265625
1756736108.9582286,56.6,346.265625
1756736109.258759,48.7,346.265625
1756736109.5594797,44.3,346.265625
1756736109.8604856,41.8,346.265625
1756736110.1622612,53.9,350.07421875
1756736110.4632897,45.1,346.265625
1756736110.7640736,51.5,346.265625
1756736111.0646124,58.8,346.2734375
1756736111.3653605,57.5,346.2734375
1756736111.6659744,48.7,346.27734375
1756736111.9666278,56.6,346.28125
1756736112.2674747,39.4,346.28125
1756736112.5683737,49.3,346.34375
1756736112.869309,44.1,346.34375
1756736113.1699822,44.4,346.34375
1756736113.471214,55.9,346.34375
1756736113.7721002,53.3,346.34375
1756736114.0726185,55.3,346.34375
1756736114.373323,40.6,346.37890625
1756736114.6739426,41.6,346.37890625
1756736114.974826,49.3,346.37890625
1756736115.275437,53.8,346.37890625
1756736115.5759716,50.3,346.37890625
1756736115.8768175,62.2,346.37890625
1756736116.1772618,53.3,346.37890625
1756736116.4784334,55.6,349.3828125
1756736116.7792747,55.6,346.37890625
1756736117.0800366,58.6,346.37890625
1756736117.3815885,56.8,350.21484375
1756736117.701291,66.0,346.3984375
1756736118.0019062,75.6,346.3984375
1756736118.3030381,68.4,346.3984375
1756736118.6039078,58.2,346.3984375
1756736118.904699,67.7,346.3984375
1756736119.2053375,53.9,346.3984375
1756736119.5059443,48.4,346.3984375
1756736119.806923,51.3,346.3984375
1756736120.1077602,65.4,346.3984375
1756736120.408692,56.1,346.3984375
1756736120.7096617,55.9,346.3984375
1756736121.0104637,60.8,346.41015625
1756736121.3114536,56.9,346.41015625
1756736121.612319,71.8,346.4140625
1756736121.9132843,53.3,346.4140625
1756736122.2142694,55.6,349.41796875
1756736122.5151494,57.5,346.421875
1756736122.8164465,48.7,346.421875
1756736123.1170127,48.7,346.421875
1756736123.4179814,45.8,346.421875
1756736123.7188299,45.6,346.421875
1756736124.020252,45.4,346.421875
1756736124.320816,51.0,346.421875
1756736124.6215048,55.8,346.4296875
1756736124.9224687,51.6,346.4296875
1756736125.2236488,46.7,346.4296875
1756736125.5246863,45.5,346.4296875
1756736125.8258235,56.8,346.4296875
1756736126.1268623,40.8,346.4296875
1756736126.4276764,50.0,346.43359375
1756736126.7391913,58.1,346.43359375
1756736127.039744,60.5,346.43359375
1756736127.3404932,50.3,346.43359375
1756736127.6413367,56.1,346.72265625
1756736127.9422412,62.7,346.73046875
1756736128.2430751,72.8,346.828125
1756736128.543857,49.4,347.0390625
1756736128.8445075,62.4,347.12890625
1756736129.1450684,67.3,347.12890625
1756736129.4458385,62.7,347.12890625
1756736129.7466297,70.1,347.12890625
1756736130.0471878,51.6,347.14453125
1756736130.3480458,63.9,347.15234375
1756736130.6486323,57.1,353.1640625
1756736130.9493425,67.3,347.16015625
1756736131.2503967,52.2,347.16015625
1756736131.5513797,73.9,347.1640625
1756736131.852008,58.4,347.1640625
1756736132.1526952,50.3,347.1640625
1756736132.4534717,68.1,347.1484375
1756736132.7542927,70.6,347.15625
1756736133.0554442,51.6,347.15625
1756736133.3563995,54.0,347.171875
1756736133.6572614,77.1,347.1640625
1756736133.9581509,73.1,347.1640625
1756736134.258963,55.8,347.1640625
1756736134.5597634,59.3,347.171875
1756736134.860504,60.8,347.171875
1756736135.1614738,53.2,347.171875
1756736135.462305,77.4,347.171875
1756736135.7626855,67.3,347.109375
1756736136.063332,53.5,347.109375
1756736136.3641822,54.5,347.171875
1756736136.6649485,69.4,347.2265625
1756736136.9658535,67.9,347.23046875
1756736137.2664957,49.7,347.23046875
1756736137.5671005,52.9,347.23046875
1756736137.8681152,75.3,347.234375
1756736138.1692495,90.5,347.234375
1756736138.4699938,62.2,347.23046875
1756736138.7709165,63.6,347.23046875
1756736139.071446,49.3,347.25
1756736139.3725336,68.1,347.2578125
1756736139.6734307,68.8,347.26171875
1756736139.9741113,57.5,347.26171875
1756736140.2747622,68.4,347.2578125
1756736140.5754204,74.1,347.26171875
1756736140.875975,52.6,347.265625
1756736141.1767957,59.0,347.30859375
1756736141.4777105,65.2,347.30859375
1756736141.778364,52.9,347.30859375
1756736142.0791903,66.2,347.30859375
1756736142.3798518,53.2,347.30859375
1756736142.6808026,71.0,347.30078125
1756736142.9816635,57.6,347.30078125
1756736143.2822742,71.6,347.3125
1756736143.5829766,53.5,347.3125
1756736143.8838491,74.8,347.3046875
1756736144.1845922,69.4,347.3046875
1756736144.4855282,52.9,347.3046875
1756736144.7868247,55.6,351.43359375
1756736145.0876067,69.3,347.46875
1756736145.3884645,52.2,347.47265625
1756736145.6893845,70.4,347.46484375
1756736145.9903667,52.0,347.46484375
1756736146.2914157,62.3,347.4765625
1756736146.5922184,58.8,347.4765625
1756736146.893144,53.5,347.4765625
1756736147.1936831,77.4,347.46875
1756736147.4945414,67.3,347.48046875
1756736147.795218,52.2,347.484375
1756736148.0958836,74.7,347.4765625
1756736148.3963728,56.6,347.48046875
1756736148.6969259,65.2,347.48046875
1756736148.9980164,69.7,347.484375
1756736149.298819,57.5,347.4921875
1756736149.599617,71.8,347.48828125
1756736149.900582,62.1,347.4921875
1756736150.201341,65.6,347.4921875
1756736150.502083,53.5,347.4921875
1756736150.80315,68.8,347.51171875
1756736151.103722,68.8,347.5078125
1756736151.4043198,54.7,347.5078125
1756736151.7051678,59.1,347.5078125
1756736152.0057592,67.1,347.51171875
1756736152.3067484,52.6,347.6015625
1756736152.6077013,67.5,347.60546875
1756736152.9082773,53.9,347.60546875
1756736153.209024,60.4,347.60546875
1756736153.5097024,63.2,347.60546875
1756736153.8103895,54.3,347.60546875
1756736154.1112595,72.7,347.59765625
1756736154.4120057,52.6,347.59765625
1756736154.7127206,66.7,347.59375
1756736155.0133142,53.5,351.87890625
1756736155.3141308,53.9,347.59375
1756736155.6150537,67.9,347.59765625
1756736155.9160044,50.0,347.59765625
1756736156.2167752,69.4,347.59375
1756736156.5199704,61.4,351.30078125
1756736156.8207736,70.9,347.59375
1756736157.1213343,51.6,347.59375
1756736157.42242,72.7,347.60546875
1756736157.7229068,53.3,347.60546875
1756736158.0239506,67.7,347.59765625
1756736158.324812,51.6,347.59765625
1756736158.6254382,68.2,347.6015625
1756736158.9259737,67.9,347.6015625
1756736159.2269485,69.7,347.6015625
1756736159.5274785,51.3,347.6015625
1756736159.8284028,58.1,347.6015625
1756736160.129182,82.8,347.60546875
1756736160.4298182,80.0,347.60546875
1756736160.7306347,77.9,347.60546875
1756736161.0314198,62.0,347.60546875
1756736161.332226,69.4,347.60546875
1756736161.6331203,52.9,347.60546875
1756736161.934125,59.5,347.61328125
1756736162.234962,64.0,347.61328125
1756736162.5356257,54.3,347.61328125
1756736162.8364599,72.2,347.61328125
1756736163.1371264,77.7,347.61328125
1756736163.4395003,66.9,347.61328125
1756736163.740477,51.0,347.61328125
1756736164.04117,72.2,347.61328125
1756736164.341931,58.0,347.61328125
1756736164.6427553,74.4,347.60546875
1756736164.944016,53.2,347.60546875
1756736165.2452734,63.6,347.60546875
1756736165.5460923,70.3,347.61328125
1756736165.8468509,53.6,347.62109375
1756736166.1478162,67.5,347.62109375
1756736166.4488528,51.3,347.62109375
1756736166.7506154,57.1,347.6171875
1756736167.0512385,67.9,347.6171875
1756736167.3521218,50.7,347.6171875
1756736167.652999,73.7,347.62109375
1756736167.9540448,55.1,347.62109375
1756736168.2546222,63.5,347.625
1756736168.5555024,60.0,347.625
1756736168.8561404,52.2,347.625
1756736169.1566513,75.0,347.62109375
1756736169.457566,52.0,347.62109375
1756736169.7586453,60.8,347.625
1756736170.0594187,62.3,347.625
1756736170.3604405,58.4,347.625
1756736170.6613085,69.2,347.625
1756736170.9620962,69.7,347.625
1756736171.2626762,54.1,347.625
1756736171.563579,61.3,347.625
1756736171.8644488,58.1,347.625
1756736172.1653938,60.8,347.625
1756736172.4660597,69.6,347.6328125
1756736172.7669942,58.1,347.6328125
1756736173.0677035,57.1,347.66796875
1756736173.3685534,63.9,347.66796875
1756736173.6691008,57.0,347.66796875
1756736173.9699044,66.7,347.671875
1756736174.2709186,54.2,347.671875
1756736174.5717812,60.8,347.66796875
1756736174.8726146,68.7,347.66796875
1756736175.1735206,54.2,347.66796875
1756736175.4751408,69.2,347.67578125
1756736175.7759905,52.6,347.67578125
1756736176.0768445,69.5,347.68359375
1756736176.3773315,52.7,347.68359375
1756736176.678305,60.9,347.68359375
1756736176.9790113,67.3,347.68359375
1756736177.2799704,71.5,347.67578125
1756736177.581054,52.6,347.67578125
1756736177.882681,56.5,347.68359375
1756736178.1833658,70.3,347.68359375
1756736178.4842174,54.0,347.69921875
1756736178.7853038,69.7,347.6953125
1756736179.0861723,60.6,347.71484375
1756736179.3898015,52.9,351.78515625
1756736179.6908436,72.7,347.734375
1756736179.9915931,52.0,347.80078125
1756736180.2924824,63.2,347.80859375
1756736180.5935333,57.3,347.80859375
1756736180.894095,52.9,347.80859375
1756736181.1951323,77.7,347.796875
1756736181.4960983,54.2,347.83984375
1756736181.7969208,70.4,347.8515625
1756736182.0974069,51.6,347.8515625
1756736182.398165,53.3,347.8515625
1756736182.6993678,68.2,347.8515625
1756736183.0006878,57.1,347.8515625
1756736183.3016949,67.3,347.84375
1756736183.6021433,59.9,347.84375
1756736183.9032192,55.0,347.84375
1756736184.20408,72.4,347.84765625
1756736184.5052726,53.3,347.875
1756736184.8072557,55.6,347.87109375
1756736185.1082325,68.9,347.87109375
1756736185.4088798,50.7,347.8984375
1756736185.7099044,73.9,347.91015625
1756736186.0110526,52.6,347.91015625
1756736186.3118553,57.1,353.91796875
1756736186.6134582,67.5,347.90234375
1756736186.9143977,51.0,347.90234375
1756736187.2151847,72.1,347.890625
1756736187.5160625,54.7,347.890625
1756736187.8171659,57.5,347.90625
1756736188.1186008,68.6,347.90625
1756736188.4197514,57.4,347.90625
1756736188.7206898,70.1,347.90625
1756736189.021451,51.3,347.90625
1756736189.322347,54.9,347.91015625
1756736189.6232827,66.0,347.91015625
1756736189.9244077,50.7,347.91015625
1756736190.2253582,72.2,347.90234375
1756736190.526075,58.7,347.91015625
1756736190.82686,78.0,347.91015625
1756736191.127963,73.1,347.91796875
1756736191.4286685,51.3,347.91796875
1756736191.7292657,57.9,347.91796875
1756736192.0298922,89.6,347.92578125
1756736192.3310866,78.9,347.92578125
1756736192.6319537,77.0,347.92578125
1756736192.9329526,78.5,347.9296875
1756736193.2337027,55.9,347.9296875
1756736193.534542,63.6,347.9296875
1756736193.8353503,79.5,347.93359375
1756736194.1361547,67.3,347.93359375
1756736194.4372532,61.0,347.93359375
1756736194.7380774,77.1,347.9296875
1756736195.038715,57.0,347.9296875
1756736195.3395088,67.1,347.94140625
1756736195.640369,74.7,347.94140625
1756736195.941259,66.2,347.94140625
1756736196.2421663,68.6,347.9296875
1756736196.5430906,66.0,347.9296875
1756736196.8439193,52.5,347.9296875
1756736197.147192,75.8,347.92578125
1756736197.4482398,52.3,353.93359375
1756736197.749197,61.6,347.93359375
1756736198.0501351,71.6,347.9453125
1756736198.3511264,52.3,347.9453125
1756736198.6692233,67.1,347.953125
1756736198.9699883,66.9,347.953125
1756736199.2707648,76.7,347.9453125
1756736199.5715036,52.6,347.9453125
1756736199.872737,69.1,347.9453125
1756736200.17373,53.3,347.9453125
1756736200.4744587,50.0,347.9453125
1756736200.7753897,67.3,347.953125
1756736201.07628,52.8,347.953125
1756736201.3770244,65.6,347.95703125
1756736201.6778593,83.9,347.95703125
1756736201.9788032,95.4,347.95703125
1756736202.2797713,68.5,347.95703125
1756736202.5804386,76.5,347.95703125
1756736202.8813708,63.2,347.95703125
1756736203.1823094,69.9,347.95703125
1756736203.4831798,73.9,347.9453125
1756736203.7838233,71.7,347.94921875
1756736204.0845945,53.3,347.953125
1756736204.3855145,59.4,347.9453125
1756736204.6865914,65.8,347.9453125
1756736204.987689,50.7,347.95703125
1756736205.2885604,64.1,347.96875
1756736205.5894284,54.2,347.96875
1756736205.8902733,56.2,347.96484375
1756736206.191424,73.0,347.96484375
1756736206.4924157,53.9,347.96484375
1756736206.793262,69.2,347.96484375
1756736207.0942647,56.5,347.96484375
1756736207.3960304,54.2,347.96875
1756736207.6969757,67.9,347.96875
1756736207.9979358,54.1,347.96875
1756736208.2991977,72.0,347.96484375
1756736208.5999029,58.2,347.96484375
1756736208.9008677,52.0,347.96484375
1756736209.2015822,72.6,347.96484375
