ts,cpu_pct,rss_mb
1756736216.6615498,0.0,285.42578125
1756736216.9628277,41.2,309.6796875
1756736217.2641575,16.7,309.8671875
1756736217.5652237,39.1,344.71875
1756736217.866031,47.0,344.74609375
1756736218.1668777,51.3,344.8984375
1756736218.467542,50.0,344.92578125
1756736218.7684069,37.2,344.92578125
1756736219.0691612,15.6,344.9296875
1756736219.3700113,51.3,344.96875
1756736219.670924,55.1,344.96875
1756736219.972155,4.5,344.96875
1756736220.2725525,52.3,344.99609375
1756736220.5732808,51.3,345.00390625
1756736220.8742023,21.6,345.0078125
1756736221.1754825,4.7,345.0078125
1756736221.47608,46.8,345.01171875
1756736221.777012,51.0,348.015625
1756736222.0776892,52.8,345.09765625
1756736222.3784523,49.7,345.109375
1756736222.6794252,48.7,345.11328125
1756736222.9802234,51.0,345.11328125
1756736223.2811797,55.3,345.1171875
1756736223.5819526,48.7,345.1953125
1756736223.882897,46.1,345.19921875
1756736224.183482,57.9,345.19921875
1756736224.4845364,55.6,345.22265625
1756736224.7855349,51.6,345.23046875
1756736225.0861104,50.0,345.23046875
1756736225.3868525,49.3,345.29296875
1756736225.6875408,54.5,345.29296875
1756736225.9886217,50.0,345.30859375
1756736226.2893429,49.3,345.328125
1756736226.5903866,67.5,345.35546875
1756736226.8908985,53.8,345.375
1756736227.1915834,52.0,345.37890625
1756736227.492636,48.0,345.37890625
1756736227.7936463,51.0,345.3828125
1756736228.094261,50.0,345.3984375
1756736228.3948522,49.7,345.40625
1756736228.6955912,57.7,345.41015625
1756736228.9967566,61.3,345.4140625
1756736229.2976983,49.7,345.4375
1756736229.598561,47.7,345.4453125
1756736229.8990865,50.3,345.4453125
1756736230.20005,57.1,345.47265625
1756736230.5010753,49.0,345.4765625
1756736230.8016932,47.4,345.59375
1756736231.1024795,61.2,345.7109375
1756736231.4031386,55.3,345.7109375
1756736231.7041547,48.0,345.71875
1756736232.004934,46.4,345.7265625
1756736232.305494,52.9,345.73046875
1756736232.606378,49.4,345.73046875
1756736232.9069905,45.4,345.7421875
1756736233.2080255,54.8,345.76953125
1756736233.5087621,60.5,345.7734375
1756736233.809403,51.0,345.77734375
1756736234.1102812,46.5,345.78125
1756736234.4113014,52.3,345.7890625
1756736234.7120402,49.3,345.7890625
1756736235.0126936,51.9,345.79296875
1756736235.3132498,54.0,345.79296875
1756736235.6137953,59.1,345.796875
1756736235.914348,50.0,345.8046875
1756736236.215044,51.0,345.8046875
1756736236.5159364,54.9,345.82421875
1756736236.8166192,48.0,345.828125
1756736237.1176214,48.0,345.8359375
1756736237.4190068,50.0,345.8359375
1756736237.7197492,61.0,351.5390625
1756736238.020438,54.6,345.99609375
1756736238.3210773,49.3,346.00390625
1756736238.6221302,54.7,346.0078125
1756736238.923115,51.3,346.01171875
1756736239.2237484,52.3,346.015625
1756736239.5246694,49.7,346.015625
1756736239.8253357,52.5,346.046875
1756736240.1259956,57.1,346.0546875
1756736240.4267755,49.7,346.0625
1756736240.7275443,51.9,346.0625
1756736241.0281067,50.0,346.0625
1756736241.3291807,48.0,346.06640625
1756736241.6299589,48.0,346.0703125
1756736241.9309015,50.9,346.07421875
1756736242.2317417,57.2,346.07421875
1756736242.5323608,53.3,346.07421875
1756736242.8332806,48.4,346.26953125
1756736243.1338444,50.3,346.27734375
1756736243.434481,51.0,346.27734375
1756736243.7353756,51.3,346.27734375
1756736244.0363414,52.2,346.28125
1756736244.3371634,47.4,346.29296875
1756736244.637715,58.2,346.29296875
1756736244.9388592,51.3,346.29296875
1756736245.2396386,54.2,346.3203125
1756736245.5403786,48.0,346.32421875
1756736245.8412752,46.1,346.3359375
1756736246.1421397,54.1,346.3359375
1756736246.4427648,46.1,346.33984375
1756736246.7436752,55.2,346.33984375
1756736247.0443583,54.4,346.33984375
1756736247.3451295,52.6,346.33984375
1756736247.6459212,47.4,346.33984375
1756736247.9464867,46.1,346.33984375
1756736248.2475295,52.2,346.33984375
1756736248.54813,51.6,346.33984375
1756736248.8488615,48.0,346.33984375
1756736249.1506982,51.3,346.3515625
1756736249.4516215,54.7,346.35546875
1756736249.7525713,54.5,346.35546875
1756736250.0533652,50.7,346.35546875
1756736250.354375,47.4,346.35546875
1756736250.655059,58.1,346.35546875
1756736250.9562726,47.4,346.35546875
1756736251.25841,56.6,346.35546875
1756736251.5589638,53.9,346.35546875
1756736251.859909,50.9,346.35546875
1756736252.160465,51.6,346.37109375
1756736252.4610128,52.6,346.37109375
1756736252.7618582,47.1,346.37109375
